id,name,shortName,mode,networkId,impactedObjects
line:IDFM:C00778,1208,1208,Bus,network:IDFM:1082,"[{'type': 'line', 'id': 'line:IDFM:C00778', 'name': '1208', 'disruptionIds': ['ea6c46bc-d73c-11ef-b937-0a58a9feac02']}]"
line:IDFM:C00770,1223,1223,Bus,network:IDFM:1082,"[{'type': 'line', 'id': 'line:IDFM:C00770', 'name': '1223', 'disruptionIds': ['ea6c46bc-d73c-11ef-b937-0a58a9feac02']}]"
line:IDFM:C00771,1224,1224,Bus,network:IDFM:1082,"[{'type': 'line', 'id': 'line:IDFM:C00771', 'name': '1224', 'disruptionIds': ['ea6c46bc-d73c-11ef-b937-0a58a9feac02']}]"
line:IDFM:C02086,1225,1225,Bus,network:IDFM:1082,"[{'type': 'line', 'id': 'line:IDFM:C02086', 'name': '1225', 'disruptionIds': ['ea6c46bc-d73c-11ef-b937-0a58a9feac02']}]"
line:IDFM:C00781,1226,1226,Bus,network:IDFM:1082,"[{'type': 'line', 'id': 'line:IDFM:C00781', 'name': '1226', 'disruptionIds': ['ea6c46bc-d73c-11ef-b937-0a58a9feac02']}]"
line:IDFM:C00783,1228,1228,Bus,network:IDFM:1082,"[{'type': 'line', 'id': 'line:IDFM:C00783', 'name': '1228', 'disruptionIds': ['ea6c46bc-d73c-11ef-b937-0a58a9feac02']}]"
line:IDFM:C00762,1230,1230,Bus,network:IDFM:1082,"[{'type': 'line', 'id': 'line:IDFM:C00762', 'name': '1230', 'disruptionIds': ['053c2894-9a9e-11ef-aca5-0a58a9feac02', 'b11ea424-9dc4-11ef-a448-0a58a9feac02', 'ea6c46bc-d73c-11ef-b937-0a58a9feac02']}, {'type': 'stop_point', 'id': 'stop_point:IDFM:10138', 'name': 'Les Plants - Préfecture RER', 'disruptionIds': ['053c2894-9a9e-11ef-aca5-0a58a9feac02']}, {'type': 'stop_point', 'id': 'stop_point:IDFM:10136', 'name': 'Les Touleuses', 'disruptionIds': ['b11ea424-9dc4-11ef-a448-0a58a9feac02']}]"
line:IDFM:C01477,1231,1231,Bus,network:IDFM:1082,"[{'type': 'line', 'id': 'line:IDFM:C01477', 'name': '1231', 'disruptionIds': ['ea6c46bc-d73c-11ef-b937-0a58a9feac02']}]"
line:IDFM:C01479,1234,1234,Bus,network:IDFM:1082,"[{'type': 'line', 'id': 'line:IDFM:C01479', 'name': '1234', 'disruptionIds': ['ea6c46bc-d73c-11ef-b937-0a58a9feac02']}]"
line:IDFM:C02625,1235,1235,Bus,network:IDFM:1082,"[{'type': 'line', 'id': 'line:IDFM:C02625', 'name': '1235', 'disruptionIds': ['ea6c46bc-d73c-11ef-b937-0a58a9feac02']}]"
line:IDFM:C00765,1236,1236,Bus,network:IDFM:1082,"[{'type': 'line', 'id': 'line:IDFM:C00765', 'name': '1236', 'disruptionIds': ['ea6c46bc-d73c-11ef-b937-0a58a9feac02']}]"
line:IDFM:C00773,1237,1237,Bus,network:IDFM:1082,"[{'type': 'line', 'id': 'line:IDFM:C00773', 'name': '1237', 'disruptionIds': ['ea6c46bc-d73c-11ef-b937-0a58a9feac02']}]"
line:IDFM:C00766,1238,1238,Bus,network:IDFM:1082,"[{'type': 'line', 'id': 'line:IDFM:C00766', 'name': '1238', 'disruptionIds': ['ea6c46bc-d73c-11ef-b937-0a58a9feac02']}, {'type': 'stop_point', 'id': 'stop_point:IDFM:8949', 'name': 'Les Plants - Préfecture RER', 'disruptionIds': ['053c2894-9a9e-11ef-aca5-0a58a9feac02']}, {'type': 'stop_point', 'id': 'stop_point:IDFM:10138', 'name': 'Les Plants - Préfecture RER', 'disruptionIds': ['053c2894-9a9e-11ef-aca5-0a58a9feac02']}]"
line:IDFM:C00768,1240,1240,Bus,network:IDFM:1082,"[{'type': 'line', 'id': 'line:IDFM:C00768', 'name': '1240', 'disruptionIds': ['ea6c46bc-d73c-11ef-b937-0a58a9feac02']}]"
line:IDFM:C00784,1241,1241,Bus,network:IDFM:1082,"[{'type': 'line', 'id': 'line:IDFM:C00784', 'name': '1241', 'disruptionIds': ['ea6c46bc-d73c-11ef-b937-0a58a9feac02']}]"
line:IDFM:C00785,1242,1242,Bus,network:IDFM:1082,"[{'type': 'line', 'id': 'line:IDFM:C00785', 'name': '1242', 'disruptionIds': ['ea6c46bc-d73c-11ef-b937-0a58a9feac02']}]"
line:IDFM:C00090,4501,4501,Bus,network:IDFM:1076,"[{'type': 'network', 'id': 'network:IDFM:1076', 'name': 'Cœur d’Essonne', 'disruptionIds': ['ccd78092-a101-11ef-b233-0a58a9feac02']}]"
line:IDFM:C01663,4502,4502,Bus,network:IDFM:1076,"[{'type': 'network', 'id': 'network:IDFM:1076', 'name': 'Cœur d’Essonne', 'disruptionIds': ['ccd78092-a101-11ef-b233-0a58a9feac02']}]"
line:IDFM:C00691,4503,4503,Bus,network:IDFM:1076,"[{'type': 'network', 'id': 'network:IDFM:1076', 'name': 'Cœur d’Essonne', 'disruptionIds': ['ccd78092-a101-11ef-b233-0a58a9feac02']}]"
line:IDFM:C01565,4504,4504,Bus,network:IDFM:1076,"[{'type': 'network', 'id': 'network:IDFM:1076', 'name': 'Cœur d’Essonne', 'disruptionIds': ['ccd78092-a101-11ef-b233-0a58a9feac02']}]"
line:IDFM:C00666,4505,4505,Bus,network:IDFM:1076,"[{'type': 'network', 'id': 'network:IDFM:1076', 'name': 'Cœur d’Essonne', 'disruptionIds': ['ccd78092-a101-11ef-b233-0a58a9feac02']}]"
line:IDFM:C00103,4510,4510,Bus,network:IDFM:1076,"[{'type': 'network', 'id': 'network:IDFM:1076', 'name': 'Cœur d’Essonne', 'disruptionIds': ['ccd78092-a101-11ef-b233-0a58a9feac02']}]"
line:IDFM:C00086,4511,4511,Bus,network:IDFM:1076,"[{'type': 'network', 'id': 'network:IDFM:1076', 'name': 'Cœur d’Essonne', 'disruptionIds': ['ccd78092-a101-11ef-b233-0a58a9feac02']}]"
line:IDFM:C00087,4512,4512,Bus,network:IDFM:1076,"[{'type': 'network', 'id': 'network:IDFM:1076', 'name': 'Cœur d’Essonne', 'disruptionIds': ['ccd78092-a101-11ef-b233-0a58a9feac02']}]"
line:IDFM:C02662,4513,4513,Bus,network:IDFM:1076,"[{'type': 'network', 'id': 'network:IDFM:1076', 'name': 'Cœur d’Essonne', 'disruptionIds': ['ccd78092-a101-11ef-b233-0a58a9feac02']}]"
line:IDFM:C00089,4514,4514,Bus,network:IDFM:1076,"[{'type': 'network', 'id': 'network:IDFM:1076', 'name': 'Cœur d’Essonne', 'disruptionIds': ['ccd78092-a101-11ef-b233-0a58a9feac02']}]"
line:IDFM:C00094,4515,4515,Bus,network:IDFM:1076,"[{'type': 'network', 'id': 'network:IDFM:1076', 'name': 'Cœur d’Essonne', 'disruptionIds': ['ccd78092-a101-11ef-b233-0a58a9feac02']}]"
line:IDFM:C00667,4516,4516,Bus,network:IDFM:1076,"[{'type': 'network', 'id': 'network:IDFM:1076', 'name': 'Cœur d’Essonne', 'disruptionIds': ['ccd78092-a101-11ef-b233-0a58a9feac02']}]"
line:IDFM:C00668,4517,4517,Bus,network:IDFM:1076,"[{'type': 'network', 'id': 'network:IDFM:1076', 'name': 'Cœur d’Essonne', 'disruptionIds': ['ccd78092-a101-11ef-b233-0a58a9feac02']}]"
line:IDFM:C00670,4518,4518,Bus,network:IDFM:1076,"[{'type': 'network', 'id': 'network:IDFM:1076', 'name': 'Cœur d’Essonne', 'disruptionIds': ['ccd78092-a101-11ef-b233-0a58a9feac02']}]"
line:IDFM:C02397,4520,4520,Bus,network:IDFM:1076,"[{'type': 'network', 'id': 'network:IDFM:1076', 'name': 'Cœur d’Essonne', 'disruptionIds': ['ccd78092-a101-11ef-b233-0a58a9feac02']}]"
line:IDFM:C00683,4521,4521,Bus,network:IDFM:1076,"[{'type': 'network', 'id': 'network:IDFM:1076', 'name': 'Cœur d’Essonne', 'disruptionIds': ['ccd78092-a101-11ef-b233-0a58a9feac02']}]"
line:IDFM:C00684,4522,4522,Bus,network:IDFM:1076,"[{'type': 'network', 'id': 'network:IDFM:1076', 'name': 'Cœur d’Essonne', 'disruptionIds': ['ccd78092-a101-11ef-b233-0a58a9feac02']}]"
line:IDFM:C00664,4523,4523,Bus,network:IDFM:1076,"[{'type': 'network', 'id': 'network:IDFM:1076', 'name': 'Cœur d’Essonne', 'disruptionIds': ['ccd78092-a101-11ef-b233-0a58a9feac02']}]"
line:IDFM:C02461,4524,4524,Bus,network:IDFM:1076,"[{'type': 'network', 'id': 'network:IDFM:1076', 'name': 'Cœur d’Essonne', 'disruptionIds': ['ccd78092-a101-11ef-b233-0a58a9feac02']}]"
line:IDFM:C00323,4530,4530,Bus,network:IDFM:1076,"[{'type': 'network', 'id': 'network:IDFM:1076', 'name': 'Cœur d’Essonne', 'disruptionIds': ['ccd78092-a101-11ef-b233-0a58a9feac02']}]"
line:IDFM:C01495,4531,4531,Bus,network:IDFM:1076,"[{'type': 'network', 'id': 'network:IDFM:1076', 'name': 'Cœur d’Essonne', 'disruptionIds': ['ccd78092-a101-11ef-b233-0a58a9feac02']}]"
line:IDFM:C01950,4532,4532,Bus,network:IDFM:1076,"[{'type': 'network', 'id': 'network:IDFM:1076', 'name': 'Cœur d’Essonne', 'disruptionIds': ['ccd78092-a101-11ef-b233-0a58a9feac02']}]"
line:IDFM:C01498,4533,4533,Bus,network:IDFM:1076,"[{'type': 'network', 'id': 'network:IDFM:1076', 'name': 'Cœur d’Essonne', 'disruptionIds': ['ccd78092-a101-11ef-b233-0a58a9feac02']}]"
